theta,log_moneyness,total_variance,implied_vol
0.01240506329113924,0.7575757575757578,0.009436322677158418,0.13737774694002242
0.01240506329113924,0.7777777777777779,0.009367463837478317,0.13687559196203183
0.01240506329113924,0.7979797979797982,0.009299273336524243,0.13637648871065894
0.01240506329113924,0.8181818181818183,0.009231761509345845,0.13588054687368495
0.01240506329113924,0.8383838383838385,0.00916493861232512,0.13538787694860363
0.01240506329113924,0.8585858585858588,0.009098814806405477,0.13489859010683156
0.01240506329113924,0.8787878787878789,0.00903340013980489,0.13441279804992448
0.01240506329113924,0.8989898989898992,0.008968704530256697,0.1339306128579773
0.01240506329113924,0.9191919191919193,0.008904737746827278,0.13345214683044465
0.01240506329113924,0.9393939393939394,0.008841509391365606,0.13297751231968213
0.01240506329113924,0.9595959595959598,0.008779028879645228,0.13250682155757285
0.01240506329113924,0.9797979797979799,0.008717305422264846,0.13204018647566995
0.01240506329113924,1.0,0.008656348005378879,0.13157771851935174
0.014810126582278482,-1.0,0.020280875755569208,0.20139948240037364
0.014810126582278482,-0.9797979797979798,0.020165521283697543,0.20082590113676843
0.014810126582278482,-0.9595959595959596,0.02005030944504648,0.20025138923386515
0.014810126582278482,-0.9393939393939394,0.019935242919065514,0.19967595207768768
0.014810126582278482,-0.9191919191919192,0.019820324446360997,0.1990995954107441
0.014810126582278482,-0.898989898989899,0.019705556830228326,0.19852232534517786
0.014810126582278482,-0.8787878787878788,0.01959094293822068,0.1979441483763573
0.014810126582278482,-0.8585858585858586,0.019476485703755108,0.19736507139691717
0.014810126582278482,-0.8383838383838383,0.01936218812775619,0.19678510171126365
0.014810126582278482,-0.8181818181818181,0.01924805328033789,0.19620424705055642
0.014810126582278482,-0.797979797979798,0.019134084302523894,0.19562251558818017
0.014810126582278482,-0.7777777777777778,0.019020284408006925,0.1950399159557188
0.014810126582278482,-0.7575757575757576,0.018906656884947196,0.19445645725944508
0.014810126582278482,-0.7373737373737373,0.018793205097810364,0.19387214909733871
0.014810126582278482,-0.7171717171717171,0.018679932489245165,0.19328700157664594
0.014810126582278482,-0.696969696969697,0.018566842582000826,0.19270102533199363
0.014810126582278482,-0.6767676767676767,0.018453938980884318,0.19211423154407026
0.014810126582278482,-0.6565656565656566,0.01834122537475744,0.1915266319588868
0.014810126582278482,-0.6363636363636364,0.01822870553857356,0.19093823890762981
0.014810126582278482,-0.6161616161616161,0.01811638333545385,0.19034906532711868
